ID,Pillar,Question,Selected,Selected Text,Raw Score,Max Score,Status,Confidence,Multiplier,Final Score,Evidence Quote,Evidence Page,Reasoning,Suggested Answer
E01,Environmental,Does the company track and report its greenhouse gas (GHG) emissions?,A,"Yes, Scope 1 and 2",3,3,PARTIALLY_SUPPORTED,100,0.7,2.1,"LATAM Group has established absolute emissions-reduction targets covering Scopes 1, 2 and 3 for the 2024 target year (base year 2023).",p22,"The document explicitly mentions tracking and reporting for Scopes 1, 2, and 3, not just Scope 1 and 2 as stated in the answer.","Yes, Scopes 1, 2, and 3"
E02,Environmental,Has the company set carbon-reduction or net-zero targets?,A,"Yes, with a specific year and measurable target",3,3,SUPPORTED,100,1.0,3.0,Target year: 2050 | Scope 3: 81% reduction and the remainder enters into the neutralization of 19% at industry level.,p23,The company has set a Net-Zero commitment for the year 2050 with specific percentage reduction targets.,A
E03,Environmental,Does the company monitor its energy consumption?,A,"Yes, with regular reporting",3,3,NOT_FOUND,100,0.5,1.5,N/A,N/A,"While the document discusses fuel efficiency and GHG emissions, it does not explicitly mention a specific section or statement regarding the regular monitoring and reporting of total energy consumption.",Not explicitly stated in the provided text
E04,Environmental,What share of the company's energy comes from renewable sources?,A,>50 %,3,3,NOT_FOUND,100,0.5,1.5,N/A,N/A,The provided text does not contain information regarding the percentage of energy derived from renewable sources.,Not mentioned
E05,Environmental,Does the company have a water-management or water-reduction programme?,A,"Yes, with targets",3,3,NOT_FOUND,100,0.5,1.5,N/A,N/A,"The provided text discusses waste management and carbon emissions, but there is no mention of a water-management or water-reduction programme.",Not mentioned
E06,Environmental,Does the company measure and manage its waste generation?,A,"Yes, with diversion targets (landfill avoidance)",3,3,SUPPORTED,90,1.0,3.0,"For Sustainable Innovation, incentives are tied to the implementation of the waste management system.",p4,"The document explicitly mentions that incentives for Sustainable Innovation are tied to the implementation of a waste management system, implying measurement and management of waste.",A
E07,Environmental,Does the company assess its climate-related physical and transition risks?,A,"Yes, aligned with TCFD or similar framework",3,3,SUPPORTED,100,1.0,3.0,"The global transition to a low-carbon economy creates physical and transitional risks. For LATAM, this translates into the challenge of adapting its business model to new regulations...",p4,"The document contains a specific section discussing SAF Market Volatility and Competitive Regulatory Pressure, explicitly identifying physical and transitional risks.",A
E08,Environmental,Does the company have an environmental policy or management system (e.g. ISO 140…,A,"Yes, certified",3,3,SUPPORTED,100,1.0,3.0,"In 2024, LATAM continued to implement its Environmental Management System (EMS), which includes on-site assessments performed by internal teams.",p9,The text explicitly mentions the implementation of an Environmental Management System (EMS).,A
E09,Environmental,Does the company consider environmental factors when selecting suppliers?,A,"Yes, formal supplier ESG criteria",3,3,SUPPORTED,100,1.0,3.0,"Additionally, in 2024, LATAM's Procurement and Sustainability teams launched an ESG evaluation program targeting strategic, critical, and SME suppliers... incorporating ESG criteria such as environmental policies, waste management, carbon reduction programs, and recyclable materials.","p9, p12",The document details an ESG evaluation program for suppliers that specifically incorporates environmental criteria into the procurement and tender process.,A
E10,Environmental,Does the company disclose environmental data in an annual report or sustainabili…,A,"Yes, publicly available",3,3,SUPPORTED,100,1.0,3.0,"Source: LATAM Integrated Annual Report 2024, Governance & Sustainability sections, pp. 48 - 49.",p1,"The document itself is an excerpt from the LATAM Integrated Annual Report 2024, which is a public disclosure of company performance and sustainability.",A
S01,Social,Does the company have a formal health & safety (H&S) policy?,A,"Yes, with regular audits and KPIs",3,3,SUPPORTED,95,1.0,3.0,"In addition to internal checks, LATAM engages accredited external bodies such as IATA, Bureau Veritas, ACS Global HQ (IATA-certified), and a Chilean Ministry of Energy-certified firm to conduct audits or inspections in specific cases... Occupational safety inspections are also conducted by the Chilean Safety Association (ACHS)",p12,"The text explicitly mentions occupational safety inspections by third parties (ACHS) and provides KPIs related to occupational health and safety audits for suppliers, confirming a formal H&S audit/monitoring structure.",A
S02,Social,Does the company track employee injury or accident rates?,A,"Yes, reported publicly",3,3,NOT_FOUND,90,0.5,1.5,N/A,N/A,"While the document discusses occupational health and safety audits and corrective actions for suppliers, it does not explicitly state whether the company tracks or publicly reports its own employee injury or accident rates.",NOT_FOUND
S03,Social,Does the company offer employee training and professional-development programmes…,A,"Yes, structured and funded",3,3,SUPPORTED,100,1.0,3.0,"LATAM also runs the Digital Curriculum through LATAM Academy, offering 39 courses in three languages on data, collaboration, citizen development and agile practices, with more than 19,800 voluntary completions in 2025.",p28,"The document details several structured development programs including MentorMatch, the Leadership Route, and the LATAM Academy digital curriculum.",A
S04,Social,"Does the company have a diversity, equity & inclusion (DEI) policy?",A,"Yes, with targets and reporting",3,3,PARTIALLY_SUPPORTED,85,0.7,2.1,"This commitment is supported by our Code of Conduct, Third Parties Code of Conduct, Diversity and Inclusion Policy, and our Human Rights Commitment Declaration",p25,"The text confirms the existence of a 'Diversity and Inclusion Policy', but the provided text snippet does not explicitly list specific quantitative targets or detailed reporting metrics for DEI, though it mentions a Women's Month campaign.",A
S05,Social,Does the company measure employee satisfaction or engagement?,A,"Yes, regular surveys with action plans",3,3,SUPPORTED,90,1.0,3.0,Results from these initiatives demonstrate a statistically significant correlation between strong leadership practices (as measured in the internal Barometer) and customer Net Promoter Score,p28,The mention of an 'internal Barometer' used to measure leadership practices implies a regular employee engagement/satisfaction survey mechanism.,A
S06,Social,Does the company pay at least the local living wage to all employees?,A,"Yes, above living wage",3,3,SUPPORTED,100,1.0,3.0,"Promote adequate wages at or above cost of living estimates or benchmarks: The LATAM Group seeks to ensure adequate and competitive salaries through the annual review of its salary scales, aligning them with market standards.",p26,The document explicitly states that the company promotes adequate wages at or above cost of living estimates or benchmarks.,A
S07,Social,Does the company engage with and support local communities?,A,"Yes, with dedicated programmes and budget",3,3,NOT_FOUND,100,0.5,1.5,n/a,n/a,"The provided text discusses memberships, labor practices, human capital management, customer relations, and privacy, but does not contain information regarding community engagement or dedicated community programs/budgets.",NOT_FOUND
S08,Social,Does the company have a human-rights or fair-labour policy that covers its suppl…,A,"Yes, with audits",3,3,SUPPORTED,100,1.0,3.0,"Our Third Parties Code of Conduct and Human Rights Declaration explicitly require compliance with all applicable national and international labor standards, ensuring that our entire value chain upholds fair and respectful working conditions.",p26,The text confirms that the Human Rights Declaration and Third Parties Code of Conduct require supply chain compliance with labor standards.,A
S09,Social,Does the company collect and analyse customer satisfaction data?,A,"Yes, with structured feedback loops",3,3,NOT_FOUND,90,0.5,1.5,n/a,n/a,"While the document mentions strengthening online service channels and digital adoption in section 3.6.1, it does not explicitly mention the collection and analysis of customer satisfaction data or structured feedback loops.",NOT_FOUND
