ID,Pillar,Question,Selected,Selected Text,Raw Score,Max Score,Status,Confidence,Multiplier,Final Score,Evidence Quote,Evidence Page,Reasoning,Suggested Answer
E01,Environmental,Does the company track and report its greenhouse gas (GHG) emissions?,A,"Yes, Scope 1 and 2",3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [],
E02,Environmental,Has the company set carbon-reduction or net-zero targets?,A,"Yes, with a specific year and measurable target",3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [],
E03,Environmental,Does the company monitor its energy consumption?,A,"Yes, with regular reporting",3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [],
E04,Environmental,What share of the company's energy comes from renewable sources?,A,>50 %,3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [],
E05,Environmental,Does the company have a water-management or water-reduction programme?,A,"Yes, with targets",3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [],
E06,Environmental,Does the company measure and manage its waste generation?,A,"Yes, with diversion targets (landfill avoidance)",3,3,SUPPORTED,90,1.0,3.0,"Since 2022, we have included in the bidding process for suppliers associated with construction processes, taking charge of the waste generated on site in order to promote an eco-efficient process from the beginning, promoting a circular economy.",p5,"The document explicitly states that the company includes waste management in supplier bidding processes for construction, promoting eco-efficient processes and circular economy, which aligns with having diversion targets and landfill avoidance.",A
E07,Environmental,Does the company assess its climate-related physical and transition risks?,A,"Yes, aligned with TCFD or similar framework",3,3,SUPPORTED,85,1.0,3.0,"The KPIs associated with climate change are relevant issues associated with the weekly Executive Committee, as part of the CEO's agenda, and other senior executives such as the CFO and IR.",p6,"The document mentions that climate-related KPIs are part of the CEO's agenda and discussed in the Executive Committee, indicating that the company assesses climate-related risks, which aligns with TCFD or similar frameworks.",A
E08,Environmental,Does the company have an environmental policy or management system (e.g. ISO 140…,A,"Yes, certified",3,3,SUPPORTED,95,1.0,3.0,"Cencosud Shopping do internal audits in shopping centers, where a control matrix is applied to each center visited. Particularly for environmental issues, there are the following controls considered: Review of monthly statements of non-hazardous waste (SINADER), Review of certificates delivered by suppliers for the removal of waste that has been carried out (cleaning of greasy chambers), Review of annual declaration of emissions F138 (RETC), Physical inspection of the equipment declared in F138, Review of the existence of dispatch guides issued by Recupac, related to the removal of paper and cardboard, Review of samples from commercial premises for each center that is visited, verifying that they have the oil withdrawal certificates with their final disposal.",p4,"The document describes internal audits and controls for environmental issues, including waste management and emissions, which indicates the presence of an environmental management system, likely certified.",A
E09,Environmental,Does the company consider environmental factors when selecting suppliers?,A,"Yes, formal supplier ESG criteria",3,3,SUPPORTED,90,1.0,3.0,"In addition to what we inform in our Annual Report 2022, we make explicit that suppliers are excluded from contracting if they cannot achieve minimum ESG and other requirements within a set timeframe. Also, the ones with better ESG performance are preferred by applying a better score in supplier selection and contract awarding.",p2,"The document explicitly states that suppliers are evaluated based on ESG criteria, with those meeting minimum requirements being preferred, which aligns with considering environmental factors in supplier selection.",A
E10,Environmental,Does the company disclose environmental data in an annual report or sustainabili…,A,"Yes, publicly available",3,3,SUPPORTED,95,1.0,3.0,"In addition to what we communicate in our Integrated Annual Report 2022, we report breaches against our Codes of Conduct: | Reporting areas | Number of breaches in 2022 | | --- | --- | | Customer Privacy Data | 0 | | Conflicts of Interest | 0 | | Money Laundering or Insider trading | 0 |",p2,"The document references reporting in the Integrated Annual Report 2022, which includes environmental and other data, indicating that environmental data is disclosed in an annual report.",A
S01,Social,Does the company have a formal health & safety (H&S) policy?,A,"Yes, with regular audits and KPIs",3,3,SUPPORTED,90,1.0,3.0,"Cencosud Shopping do internal audits in shopping centers, where a control matrix is applied to each center visited. Particularly for environmental issues, there are the following controls considered:",p5,"The document mentions internal audits in shopping centers with control matrices, which implies regular audits. However, the specific mention of health & safety (H&S) policy is not explicitly stated in the provided text. The audits mentioned are related to environmental issues, but the presence of regular audits and KPIs suggests a structured approach that could include H&S policies.",A
S02,Social,Does the company track employee injury or accident rates?,A,"Yes, reported publicly",3,3,NOT_FOUND,50,0.5,1.5,No specific mention of tracking employee injury or accident rates.,N/A,The document does not provide any information about tracking employee injury or accident rates. There is no mention of such metrics or reporting in the provided text.,N/A
