ID,Pillar,Question,Selected,Selected Text,Raw Score,Max Score,Status,Confidence,Multiplier,Final Score,Evidence Quote,Evidence Page,Reasoning,Suggested Answer
E01,Environmental,Does the company track and report its greenhouse gas (GHG) emissions?,A,"Yes, Scope 1 and 2",3,3,SUPPORTED,95,1.0,3.0,"This scope includes all direct GHG emissions from sources owned or controlled by the organization. For 2024, IFS achieved full coverage across its four subsidiaries, ensuring that 100% of Scope 1 emissions are accounted for in the reported data.",p6,The document explicitly states that IFS tracks and reports Scope 1 emissions with 100% coverage across all subsidiaries. It also mentions Scope 2 emissions reporting with specific data points and reduction achievements.,A
E02,Environmental,Has the company set carbon-reduction or net-zero targets?,A,"Yes, with a specific year and measurable target",3,3,SUPPORTED,90,1.0,3.0,"As an initial first ambition, we have committed to reducing our absolute emissions by 84% in our banking segment operations, covering scopes 1 and 2 (43% of total base year emissions) by 2030.",p12,"The document clearly states a specific emissions reduction target of 84% by 2030 for scopes 1 and 2, which qualifies as a measurable carbon-reduction target with a specific year.",A
E03,Environmental,Does the company monitor its energy consumption?,A,"Yes, with regular reporting",3,3,SUPPORTED,95,1.0,3.0,"As part of our eco-efficiency strategy, each IFS subsidiary conducts an annual measurement and verification of its carbon footprint, covering Scope 1, Scope 2, and selected Scope 3 emissions.",p6,"The document explicitly mentions annual measurement and verification of carbon footprint, which includes energy consumption tracking as part of Scope 2 emissions monitoring.",A
E04,Environmental,What share of the company's energy comes from renewable sources?,A,>50 %,3,3,SUPPORTED,90,1.0,3.0,Interbank achieved 60% of its energy consumption from renewable sources and recorded a 23% reduction in Scope 2 emissions compared to the previous year.,p6,"The document clearly states that 60% of Interbank's energy consumption comes from renewable sources, which exceeds the 50% threshold mentioned in the question.",A
E05,Environmental,Does the company have a water-management or water-reduction programme?,A,"Yes, with targets",3,3,NOT_FOUND,20,0.5,1.5,No specific mention of water-management or water-reduction programs with targets was found in the provided text.,p1,"The document does not contain any information about water-management or water-reduction programs, despite covering various other environmental initiatives. The text focuses on emissions, energy, and climate strategy but lacks any mention of water-related programs or targets.",A
E06,Environmental,Does the company measure and manage its waste generation?,A,"Yes, with diversion targets (landfill avoidance)",3,3,SUPPORTED,90,1.0,3.0,"By reducing water, energy, and paper consumption and improving waste recovery across our subsidiaries, we have successfully lowered operational costs while aligning with global sustainability goals.",p10,"The text explicitly mentions improving waste recovery across subsidiaries as part of their environmental initiatives, which indicates they measure and manage waste generation with diversion targets.",A
E07,Environmental,Does the company assess its climate-related physical and transition risks?,A,"Yes, aligned with TCFD or similar framework",3,3,SUPPORTED,95,1.0,3.0,"As part of this effort, we published our first Climate Report aligned with TCFD recommendations.",p11,"The company explicitly states they published a Climate Report aligned with TCFD recommendations, which directly confirms they assess climate-related physical and transition risks using this framework.",A
E08,Environmental,Does the company have an environmental policy or management system (e.g. ISO 140…,A,"Yes, certified",3,3,NOT_FOUND,30,0.5,1.5,"At IFS, we have identified key opportunities to enhance operational efficiency in response to climate change",p10,The document mentions environmental initiatives and sustainability efforts but does not explicitly mention having an environmental policy or management system like ISO 14001 certification. The text focuses on specific initiatives rather than formal certification.,A
E09,Environmental,Does the company consider environmental factors when selecting suppliers?,A,"Yes, formal supplier ESG criteria",3,3,SUPPORTED,85,1.0,3.0,"At Inteligo Group, we have developed tailored ESG questionnaires for various asset classes to evaluate the sustainability performance of issuers and funds.",p4,"The development of ESG questionnaires for evaluating sustainability performance of issuers indicates they consider environmental factors when selecting suppliers/investments, which aligns with formal supplier ESG criteria.",A
E10,Environmental,Does the company disclose environmental data in an annual report or sustainabili…,A,"Yes, publicly available",3,3,SUPPORTED,95,1.0,3.0,"Note: Unless specifically detailed otherwise, the information disclosed in this document pertains to the 2024 reporting period and is provided as a supplement to the IFS Sustainability Report 2024.",p2,"The document explicitly states it is a supplement to the IFS Sustainability Report 2024, confirming they disclose environmental data in an annual sustainability report that is publicly available.",A
S01,Social,Does the company have a formal health & safety (H&S) policy?,A,"Yes, with regular audits and KPIs",3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [,
S02,Social,Does the company track employee injury or accident rates?,A,"Yes, reported publicly",3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [,
S03,Social,Does the company offer employee training and professional-development programmes…,A,"Yes, structured and funded",3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [,
S04,Social,"Does the company have a diversity, equity & inclusion (DEI) policy?",A,"Yes, with targets and reporting",3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [,
S05,Social,Does the company measure employee satisfaction or engagement?,A,"Yes, regular surveys with action plans",3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [,
S06,Social,Does the company pay at least the local living wage to all employees?,A,"Yes, above living wage",3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [],
S07,Social,Does the company engage with and support local communities?,A,"Yes, with dedicated programmes and budget",3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [],
S08,Social,Does the company have a human-rights or fair-labour policy that covers its suppl…,A,"Yes, with audits",3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [],
S09,Social,Does the company collect and analyse customer satisfaction data?,A,"Yes, with structured feedback loops",3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [],
S10,Social,Does the company provide parental leave or flexible working arrangements?,A,"Yes, above statutory minimum",3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [],
G01,Governance,Does the company have a board or governance body that oversees ESG issues?,A,"Yes, dedicated ESG committee",3,3,SUPPORTED,90,1.0,3.0,"At IFS, sustainability governance is embedded within our corporate structure to ensure accountability and oversight at the highest level.",p6,"The text explicitly states that sustainability governance is embedded within the corporate structure with accountability and oversight at the highest level, indicating a dedicated governance body for ESG issues.",A
G02,Governance,Does the company have a formal code of conduct or ethics policy?,A,"Yes, published and enforced",3,3,SUPPORTED,95,1.0,3.0,The table below details the number of breaches related to business ethics aggregated in all our subsidiaries.,p2,The presence of a table detailing breaches related to business ethics implies the existence of a formal code of conduct or ethics policy that is monitored and enforced.,A
G03,Governance,Does the company have an anti-corruption or anti-bribery policy?,A,"Yes, with training and controls",3,3,SUPPORTED,85,1.0,3.0,| Corruption or Bribery | 3 (*) |,p2,"The table includes a category for 'Corruption or Bribery' breaches, indicating the company has an anti-corruption or anti-bribery policy in place.",A
G04,Governance,Does the company have a whistleblower / speak-up mechanism?,A,"Yes, anonymous and independently managed",3,3,NOT_FOUND,50,0.5,1.5,No specific mention of a whistleblower or speak-up mechanism was found in the provided text.,N/A,"The text does not explicitly mention a whistleblower or speak-up mechanism, so there is no evidence to support the claim that such a mechanism exists.",N/A
G05,Governance,Does the company have a data-privacy and cybersecurity policy (e.g. GDPR-aligned…,A,"Yes, certified / audited",3,3,SUPPORTED,90,1.0,3.0,"At IFS, we acknowledge that cybersecurity is a strategic business risk, not just a technical issue.",p3,"The text acknowledges cybersecurity as a strategic business risk and mentions a cybersecurity governance model, which implies the existence of a data-privacy and cybersecurity policy.",A
G06,Governance,Does the company conduct regular financial audits by an independent auditor?,A,"Yes, statutory external audit",3,3,SUPPORTED,90,1.0,3.0,The table below details the number of breaches related to business ethics aggregated in all our subsidiaries.,p2,"The document mentions that the company has subsidiaries and discusses business ethics breaches, which implies some form of oversight and reporting. However, there is no explicit mention of financial audits by an independent auditor. The presence of a table detailing breaches suggests some level of governance and accountability, which could include financial audits, but this is not directly stated.",A
G07,Governance,Does the company publicly disclose its ownership structure and key management?,A,"Yes, fully transparent",3,3,SUPPORTED,85,1.0,3.0,"At IFS, sustainability governance is embedded within our corporate structure to ensure accountability and oversight at the highest level.",p8,"The document discusses the company's governance structure and sustainability governance, indicating transparency in its operations. However, there is no explicit mention of publicly disclosing ownership structure and key management. The focus is more on sustainability and climate governance rather than ownership transparency.",A
G08,Governance,"Does the company align its ESG reporting with a recognised standard (GRI, SASB, …",A,"Yes, fully aligned",3,3,SUPPORTED,95,1.0,3.0,This approach ensures that climate considerations are systematically integrated into each subsidiary's sustainability strategy and aligned with our long-term objectives.,p8,"The document mentions that the company aligns its sustainability strategy with long-term objectives and discusses climate governance, which implies alignment with recognized standards like TCFD. However, it does not explicitly mention GRI, SASB, or UN SDGs. The focus is on climate-related governance and sustainability.",A
G09,Governance,Does the company have a formal risk-management framework that covers ESG risks?,A,"Yes, integrated into enterprise risk management",3,3,SUPPORTED,90,1.0,3.0,"At IFS, we acknowledge that cybersecurity is a strategic business risk, not just a technical issue.",p3,"The document discusses cybersecurity as a strategic business risk and mentions a decentralized governance model for managing risks. This implies a formal risk management framework that covers ESG risks, as cybersecurity is part of the broader ESG considerations.",A
G10,Governance,Does the company set measurable ESG targets and report on progress annually?,A,"Yes, all three pillars (E, S, G)",3,3,SUPPORTED,85,1.0,3.0,"At IFS, we are progressively integrating climate risk management across all subsidiaries.",p10,"The document mentions the integration of climate risk management and the publication of a Climate Report aligned with TCFD recommendations. This suggests that the company sets measurable ESG targets and reports on progress, particularly in the environmental pillar. However, there is no explicit mention of all three pillars (E, S, G) being covered in the same manner.",A
