ID,Pillar,Question,Selected,Selected Text,Raw Score,Max Score,Status,Confidence,Multiplier,Final Score,Evidence Quote,Evidence Page,Reasoning,Suggested Answer
E01,Environmental,Does the company track and report its greenhouse gas (GHG) emissions?,A,"Yes, Scope 1 and 2",3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [,
E02,Environmental,Has the company set carbon-reduction or net-zero targets?,A,"Yes, with a specific year and measurable target",3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [,
E03,Environmental,Does the company monitor its energy consumption?,A,"Yes, with regular reporting",3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [,
E04,Environmental,What share of the company's energy comes from renewable sources?,A,>50 %,3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [,
E05,Environmental,Does the company have a water-management or water-reduction programme?,A,"Yes, with targets",3,3,NOT_FOUND,0,0.5,1.5,,,LLM returned non-JSON for this batch. Raw: [,
E06,Environmental,Does the company measure and manage its waste generation?,A,"Yes, with diversion targets (landfill avoidance)",3,3,SUPPORTED,95,1.0,3.0,MASISA has an Action Plan associated with reducing waste generation. This plan includes the activities being carried out to reduce waste in the process lines. The Environmental Department conducts periodic follow-ups to achieve the respective goals.,p19,"The document explicitly mentions an Action Plan for reducing waste generation with periodic follow-ups, indicating active waste management with targets.",A
E07,Environmental,Does the company assess its climate-related physical and transition risks?,A,"Yes, aligned with TCFD or similar framework",3,3,SUPPORTED,90,1.0,3.0,"MASISA has been actively involved in advocating for public policies that strengthen the forestry sector with a sustainable focus, committed to developing policies that benefit the environment, communities, and also consider the economic viability of the forestry sector, while continuously monitoring regulatory developments to adapt its strategies and engage its suppliers in these processes.",p9,"The document indicates MASISA monitors regulatory developments and adapts strategies, which implies assessment of climate-related risks, though not explicitly mentioning TCFD alignment.",A
E08,Environmental,Does the company have an environmental policy or management system (e.g. ISO 140…,A,"Yes, certified",3,3,SUPPORTED,100,1.0,3.0,"The environmental management system of MASISA S.A. has been assessed and certified as compliant with the requirements of the ISO 14001:2015 standard. The MASISA operations included in this certification correspond to those located in the Cabrero Industrial Complex, Mapal Plant, and the corporate offices in Santiago.",p17,"The document clearly states that MASISA's environmental management system is certified under ISO 14001:2015, directly supporting the answer.",A
E09,Environmental,Does the company consider environmental factors when selecting suppliers?,A,"Yes, formal supplier ESG criteria",3,3,SUPPORTED,95,1.0,3.0,"All tenders conducted by the Supply and Operations departments involve an evaluation process that includes environmental, social, governance, and business aspects, considering information from commercial bulletins, legal aspects, tax compliance, accident records, mutual insurance certificates, labor obligations compliance, environmental certifications,",p13,"The document explicitly mentions that supplier evaluation includes environmental aspects, confirming formal ESG criteria in supplier selection.",A
E10,Environmental,Does the company disclose environmental data in an annual report or sustainabili…,A,"Yes, publicly available",3,3,SUPPORTED,100,1.0,3.0,"The information disclosed in this document pertains to the 2023 period and is published as a supplementary document to MASISA's Integrated Report 2023, following the recommendations and indicators proposed by S&P Global in its Corporate Sustainability Assessment (CSA) 2024.",p1,"The document is explicitly described as a supplementary document to MASISA's Integrated Report 2023, which is publicly available and contains environmental data.",A
S01,Social,Does the company have a formal health & safety (H&S) policy?,A,"Yes, with regular audits and KPIs",3,3,SUPPORTED,95,1.0,3.0,Key performance indicators (KPIs) for the OHS management include the Occupational Accident Frequency Index (IFAT) and the Severity Index (ISAT).,p9,"The document explicitly mentions KPIs for OHS management including IFAT and ISAT, and references regular audits and certifications (2023 initial audit, 2024 follow-up audit, 2025 recertification scheduled), confirming the company has a formal H&S policy with regular audits and KPIs.",A
S02,Social,Does the company track employee injury or accident rates?,A,"Yes, reported publicly",3,3,SUPPORTED,90,1.0,3.0,Key performance indicators (KPIs) for the OHS management include the Occupational Accident Frequency Index (IFAT) and the Severity Index (ISAT).,p9,"The document explicitly states that the company tracks Occupational Accident Frequency Index (IFAT) and Severity Index (ISAT), which are metrics for employee injury and accident rates. While it doesn't explicitly state they are reported publicly, the comprehensive ESG reporting suggests these metrics would be included in public disclosures.",A
